Model,Quality Score,Shape Score,Appearance Score,Semantic Score,MSE (Full),Mean Pixel Diff (Full),Color Similarity (Full),SSIM (Full),PSNR (Full),ROI BBox X1,ROI BBox Y1,ROI BBox X2,ROI BBox Y2,MSE (ROI),Mean Pixel Diff (ROI),Color Similarity (ROI),SSIM (ROI),PSNR (ROI),Silhouette IoU,LPIPS (Full),Semantic Similarity,Vertices,Faces,Watertight,Has Texture,Size X,Size Y,Size Z,Surface Area,Self Intersecting,Mesh Flags
309509,17.53,18.47,9.96,80.81,15388.20,111.34,-0.192600,0.016916,6.26,70,118,409,473,13794.36,103.90,-0.171933,0.034123,6.73,0.184687,0.931596,0.616143,13211,21736,No,Yes,0.527816,0.651134,1.000011,0.585674,N/A,not_watertight
hqdefault,21.53,30.35,9.07,78.83,12777.73,91.55,0.600117,0.116877,7.07,38,86,489,401,13794.25,100.70,-0.341651,0.079083,6.73,0.303520,0.828323,0.576673,279751,501812,No,Yes,0.681772,0.762528,0.999978,2.655391,N/A,not_watertight
road-rage-4,17.55,18.91,10.54,78.87,16874.44,114.29,-0.240178,0.028884,5.86,46,86,457,441,12759.26,94.54,-0.154192,0.051394,7.07,0.189128,0.886922,0.577487,244554,465294,No,Yes,0.681438,0.736258,1.000000,1.683579,N/A,not_watertight
getImage,17.31,19.38,9.86,78.07,15790.49,110.56,-0.233635,0.015273,6.15,46,158,449,385,8769.37,80.77,-0.193408,0.040500,8.70,0.193817,0.892130,0.561473,163562,298870,No,Yes,0.744006,0.483035,1.000000,1.062006,N/A,not_watertight
parent,18.62,22.45,11.98,74.25,9699.48,82.28,-0.163065,0.064019,8.26,70,46,449,505,8406.07,76.09,-0.112143,0.095347,8.88,0.224521,0.764853,0.484912,289088,501650,No,Yes,0.580109,0.933906,0.999989,2.801353,N/A,not_watertight
maxresdefault,16.93,16.85,11.52,77.90,16308.71,117.16,-0.179970,0.042830,6.01,62,102,441,433,12958.73,100.57,-0.143041,0.089727,7.01,0.168528,0.883518,0.558056,184912,330566,No,Yes,0.616280,0.734890,1.000049,1.192724,N/A,not_watertight
2017062293400,23.06,27.72,12.83,84.20,9505.01,87.43,-0.130993,0.073043,8.35,46,70,457,465,9245.06,84.01,-0.080035,0.117218,8.47,0.277151,0.883306,0.683925,281878,501522,No,Yes,0.556338,0.890010,1.000010,2.532795,N/A,not_watertight
blow1,20.10,28.05,10.15,74.10,20447.11,126.17,-0.220414,0.013091,5.02,126,78,353,481,14581.05,100.35,-0.158500,0.036138,6.49,0.280539,0.862020,0.481965,157126,299876,No,Yes,0.999982,0.829551,0.511143,1.071219,N/A,not_watertight
boxe_de_rue_-_eric_quequet_-_coup_de_genou_self_defense,22.29,23.67,12.71,88.70,14531.00,110.99,-0.120257,0.084934,6.51,54,62,457,441,12397.85,97.35,-0.148425,0.145959,7.20,0.236655,0.855031,0.774067,265211,501468,No,Yes,1.000013,0.999874,0.937583,3.002234,N/A,not_watertight
Datacluster Cracked Screen (208),27.88,37.04,14.68,85.94,6810.19,70.23,-0.091508,0.074228,9.80,78,46,425,489,7086.39,70.39,0.080347,0.120322,9.63,0.370376,0.801570,0.718739,258706,500750,No,Yes,0.940911,0.999991,0.787740,1.825187,N/A,not_watertight
Datacluster Cracked Screen (103),32.66,49.78,14.20,85.36,17325.78,117.33,-0.288369,0.080237,5.74,54,142,449,377,10251.33,80.44,-0.178838,0.228453,8.02,0.497820,0.864088,0.707125,113088,217830,No,Yes,0.058130,0.512194,0.999999,1.076527,N/A,not_watertight
Datacluster Cracked Screen (205),23.66,29.75,15.55,77.68,8330.14,75.47,-0.163199,0.067321,8.92,46,182,465,329,8435.03,75.16,-0.142872,0.271213,8.87,0.297522,0.787252,0.553640,66747,127632,No,Yes,1.000006,0.296082,0.044580,0.605617,N/A,not_watertight
Datacluster Cracked Screen (144),26.76,21.36,26.75,87.60,10259.20,77.19,-0.075827,0.133752,8.02,54,166,481,385,3822.12,39.03,0.426530,0.374936,12.31,0.213645,0.818717,0.752083,167748,322424,No,Yes,0.754403,0.263464,1.000000,1.250049,N/A,not_watertight
Datacluster Cracked Screen (206),26.60,35.15,15.57,81.55,12531.51,93.87,-0.229960,0.054662,7.15,46,142,449,377,8041.06,67.73,0.103079,0.149288,9.08,0.351457,0.834451,0.631031,178725,325072,No,Yes,0.130317,0.529858,1.000002,1.453604,N/A,not_watertight
Datacluster Cracked Screen (260),21.99,16.18,22.99,81.59,1227.50,31.72,-0.072648,0.034358,17.24,182,141,305,377,1406.10,33.22,0.002413,0.200587,16.65,0.161782,0.762009,0.631748,53284,100716,No,Yes,0.999985,0.378145,0.187582,0.430183,N/A,not_watertight
Datacluster Cracked Screen (231),27.94,31.21,21.87,83.55,18917.99,110.20,-0.194508,0.071347,5.36,150,46,353,449,3350.04,46.86,0.223375,0.228471,12.88,0.312077,0.800729,0.671055,108478,208486,No,Yes,0.477281,0.999993,0.030363,0.942771,N/A,not_watertight
Datacluster Cracked Screen (131),28.68,29.23,23.98,86.96,8661.05,69.10,0.341219,0.095524,8.76,142,46,369,457,2557.18,38.56,0.285530,0.233576,14.05,0.292290,0.779018,0.739300,125312,240258,No,Yes,0.091212,1.000012,0.514836,1.159957,N/A,not_watertight
Datacluster Cracked Screen (178),34.59,53.39,16.91,82.34,15573.42,111.66,-0.139085,0.090530,6.21,46,142,457,377,5671.73,54.95,-0.033606,0.247971,10.59,0.533941,0.834564,0.646889,157069,303200,No,Yes,0.387026,0.389147,1.000000,1.127606,N/A,not_watertight
Datacluster Cracked Screen (105),27.88,37.39,14.69,85.22,16301.03,107.87,-0.212066,0.091757,6.01,62,102,425,417,9994.75,72.22,-0.098616,0.210405,8.13,0.373883,0.817873,0.704343,127256,243654,No,Yes,0.078318,0.763028,1.000009,1.164332,N/A,not_watertight
Datacluster Cracked Screen (221),30.74,43.79,16.86,82.39,21644.20,121.79,0.194015,0.049697,4.78,140,177,425,361,8674.00,60.81,0.140762,0.188401,8.75,0.437919,0.881589,0.647856,38327,66772,No,Yes,0.999986,0.069563,0.552395,1.765714,N/A,not_watertight
Datacluster Cracked Screen (1),32.52,42.97,18.05,90.55,15859.61,111.84,-0.084808,0.033892,6.13,150,46,353,465,8385.09,69.10,0.419914,0.102195,8.90,0.429713,0.877949,0.810934,119812,231484,No,Yes,0.490414,0.999992,0.331699,0.931391,N/A,not_watertight
Datacluster Cracked Screen (127),24.38,31.31,11.85,85.58,17292.53,112.04,-0.360057,0.104136,5.75,70,46,465,465,13837.70,98.67,-0.263480,0.164978,6.72,0.313101,0.860883,0.711629,168750,317368,No,Yes,0.451585,1.000000,0.968253,1.389786,N/A,not_watertight
Datacluster Cracked Screen (240),26.20,33.04,14.75,85.43,10111.48,85.07,-0.202671,0.072189,8.08,142,46,369,449,5702.17,59.60,-0.139736,0.205166,10.57,0.330414,0.781448,0.708531,155088,297700,No,Yes,0.156737,1.000007,0.520749,1.369513,N/A,not_watertight
Datacluster Cracked Screen (136),28.36,36.85,15.31,87.46,5157.15,55.92,-0.117642,0.058035,11.01,94,78,441,481,4241.87,49.26,-0.013543,0.103015,11.86,0.368478,0.669882,0.749269,237292,461978,No,Yes,0.999982,0.766216,0.634219,1.729820,N/A,not_watertight
6395024177_81fa2847c3_o,19.12,14.46,18.38,79.90,18909.38,115.89,0.315169,0.025837,5.36,62,134,433,449,13620.31,96.57,0.575736,0.039398,6.79,0.144616,0.868525,0.598009,184258,324064,No,Yes,0.602541,0.595623,0.999963,1.232950,N/A,not_watertight
2249564736_d42d4caede_o,19.49,27.20,8.74,75.55,11050.81,92.62,-0.206879,0.011833,7.70,54,86,457,417,12294.92,94.39,-0.259509,0.023076,7.23,0.272041,0.925898,0.510948,95626,171314,No,Yes,0.150564,0.783192,1.000007,0.703906,N/A,not_watertight
3054017065_8d9ab6df01_o,25.10,32.42,12.41,85.86,9333.84,89.62,-0.108468,0.031191,8.43,70,173,449,377,8494.68,77.70,-0.089674,0.103295,8.84,0.324247,0.886303,0.717242,196302,372682,No,Yes,1.000006,0.164303,0.920131,1.549117,N/A,not_watertight
5382870740_471ca1b808_o,27.42,39.69,9.99,87.76,28627.03,148.13,0.003055,0.013137,3.56,46,174,449,393,26561.59,141.01,-0.125798,0.012390,3.89,0.396879,0.901038,0.755145,87068,153692,No,Yes,0.451701,0.440474,1.000032,0.599676,N/A,not_watertight
12992937843_396732f798_o,21.46,25.98,8.93,87.47,24476.14,136.94,-0.290679,0.037714,4.24,38,46,473,449,20743.43,126.11,-0.303758,0.053857,4.96,0.259761,0.793422,0.749478,146360,270230,No,Yes,0.088444,0.959112,1.000015,1.079829,N/A,not_watertight
15149278572_534337cae9_o,20.60,22.31,13.09,82.21,12111.97,92.41,-0.136004,0.047502,7.30,46,110,449,417,6282.95,63.51,-0.037531,0.100178,10.15,0.223101,0.827522,0.644283,175023,331494,No,Yes,0.153681,0.713455,1.000002,1.455639,N/A,not_watertight
8265656003_0bb911d34d_o,26.01,36.52,13.68,79.64,16345.26,116.51,-0.019723,0.048719,6.00,78,46,425,497,17887.34,120.40,0.068811,0.080997,5.61,0.365189,0.911872,0.592707,223590,430310,No,Yes,0.661738,1.000002,0.835828,1.625320,N/A,not_watertight
439615817_6a362b6b3c_o,20.34,21.69,11.74,84.83,41696.08,189.13,-0.086946,0.013857,1.93,198,158,385,377,27967.73,133.95,-0.082763,0.069724,3.66,0.216881,0.869814,0.696635,34851,63520,No,Yes,1.000000,0.197742,0.343633,0.229251,N/A,not_watertight
4989837054_1d84c31d62_o,34.12,43.71,23.16,86.87,2468.02,31.42,0.859085,0.171773,14.21,54,126,441,409,4319.27,49.08,0.759288,0.073590,11.78,0.437088,0.785221,0.737411,158024,292984,No,Yes,0.550295,0.536568,0.999981,1.052352,N/A,not_watertight
15074048198_c5ff8af6fa_o,15.73,11.35,9.80,86.37,10593.95,87.36,-0.135238,0.017884,7.88,38,110,457,401,12170.00,91.10,-0.184772,0.033494,7.28,0.113511,0.906207,0.727373,103607,189876,No,Yes,0.317129,0.656338,0.999994,0.660261,N/A,not_watertight
100190416_11ead6547f_o,18.42,16.61,11.32,86.23,14720.20,102.54,-0.122642,0.024548,6.45,102,142,385,409,8991.79,77.92,-0.134526,0.076821,8.59,0.166083,0.952377,0.724506,117217,216178,No,Yes,0.679096,0.324728,1.000000,0.821536,N/A,not_watertight
8557270023_66a3c63006_o,20.93,21.52,12.84,85.95,42673.71,201.33,-0.088202,0.016350,1.83,182,150,329,393,23350.01,132.91,-0.082522,0.119002,4.45,0.215221,0.808516,0.718996,54381,102712,No,Yes,0.999983,0.284955,0.119612,0.396236,N/A,not_watertight
6963681645_d040d056a2_o,21.06,21.67,11.45,89.06,49154.05,205.66,-0.039530,0.016356,1.22,70,158,489,377,35709.19,164.36,-0.057633,0.044215,2.60,0.216691,0.852477,0.781106,66199,116152,No,Yes,0.999992,0.325349,0.230204,0.460941,N/A,not_watertight
3729585029_5af861e06a_o,25.29,31.10,10.92,92.43,54509.54,225.61,-0.051158,0.007608,0.77,46,206,481,321,30090.60,148.62,-0.094385,0.038435,3.35,0.310960,0.831253,0.848570,33274,57748,No,Yes,0.141303,0.155274,0.999995,0.235395,N/A,not_watertight
149291028_4548453a07_o,19.46,20.10,10.02,87.08,22301.75,136.38,-0.186272,0.035282,4.65,46,62,465,481,18232.40,119.60,-0.204096,0.052748,5.52,0.201033,0.951685,0.741592,262700,501036,No,Yes,0.724137,0.955964,1.000000,2.057327,N/A,not_watertight
living_1026,31.09,43.70,15.48,87.11,10993.95,91.16,-0.022539,0.144332,7.72,38,110,512,457,8088.20,75.16,-0.055851,0.224340,9.05,0.436983,0.808394,0.742120,35062,62642,No,Yes,0.997665,0.565939,1.000034,3.821872,N/A,not_watertight
living_1044,29.12,40.68,13.81,86.60,13824.56,99.15,-0.025998,0.058866,6.72,46,86,473,449,14109.05,97.57,0.054120,0.094559,6.64,0.406834,0.866058,0.731968,289618,502042,No,Yes,0.822047,0.743937,1.000017,4.292950,N/A,not_watertight
living_1249,16.87,20.30,9.38,74.97,27474.13,149.29,-0.206590,0.019075,3.74,54,70,473,473,21419.00,129.98,-0.214516,0.029508,4.82,0.202951,0.919166,0.499363,209692,381516,No,Yes,0.676869,0.903049,1.000000,1.399024,N/A,not_watertight
living_1004,25.51,25.31,24.73,77.49,10010.29,71.67,0.983673,0.210914,8.13,54,150,417,393,8200.20,67.93,0.952521,0.136568,8.99,0.253071,0.790719,0.549818,276590,501278,No,Yes,1.000028,0.270134,0.964950,2.275220,N/A,not_watertight
living_1179,30.35,43.75,16.11,82.03,13939.71,95.65,-0.117315,0.111441,6.69,94,94,489,441,12774.75,88.41,0.024811,0.212535,7.07,0.437500,0.839778,0.640649,272507,501232,No,Yes,0.999919,0.672668,0.731297,4.032050,N/A,not_watertight
living_1147,25.98,32.39,13.84,87.44,18994.83,115.31,-0.213356,0.063449,5.34,62,142,425,401,7840.70,67.81,-0.102732,0.174006,9.19,0.323850,0.915549,0.748888,262310,501152,No,Yes,0.875856,0.468667,0.999981,2.620631,N/A,not_watertight
living_10,18.10,19.77,11.74,77.49,19471.81,117.80,-0.426222,0.037847,5.24,118,126,377,441,7282.83,71.33,-0.186376,0.121291,9.51,0.197650,0.927190,0.549755,273169,501688,No,Yes,0.999954,0.534454,0.555667,2.751356,N/A,not_watertight
living_1211,21.37,29.52,9.56,78.68,20051.71,125.66,0.053622,0.021323,5.11,46,158,473,353,18393.42,111.69,-0.220389,0.040537,5.48,0.295154,0.943532,0.573661,272993,501430,No,Yes,0.795899,0.214351,1.000004,2.263413,N/A,not_watertight
living_1024,22.57,24.72,15.48,82.43,15059.05,95.98,0.209386,0.067634,6.35,54,118,505,417,8577.25,71.97,0.170294,0.111450,8.80,0.247209,0.836285,0.648537,271047,501676,No,Yes,0.597928,0.578917,1.000044,2.951506,N/A,not_watertight
living_1000,24.78,30.87,15.95,80.28,23024.05,128.79,-0.144060,0.121894,4.51,54,62,441,457,12608.79,93.32,0.016179,0.209854,7.12,0.308734,0.885436,0.605621,259564,501404,No,Yes,0.680599,0.999986,0.941322,3.302201,N/A,not_watertight
living_1261,26.41,31.34,16.39,86.58,10144.96,74.15,-0.087766,0.057231,8.07,62,142,465,401,4397.28,54.27,0.039136,0.133128,11.70,0.313430,0.821313,0.731661,283211,501758,No,Yes,0.627310,0.435031,0.999994,3.118459,N/A,not_watertight
living_1090,21.85,31.63,9.60,76.77,18637.43,120.31,-0.343754,0.024902,5.43,62,174,465,361,13214.95,97.00,-0.301233,0.082531,6.92,0.316302,0.909069,0.535433,278977,501488,No,Yes,0.563659,0.322668,1.000006,2.542734,N/A,not_watertight
living_1145,16.18,16.58,12.50,72.76,25955.29,144.19,-0.152206,0.035074,3.99,62,134,465,417,16732.37,104.31,-0.034277,0.079691,5.90,0.165797,0.906636,0.455187,126165,239604,No,Yes,0.475502,0.603028,1.000002,1.082695,N/A,not_watertight
living_1174,24.04,27.55,17.33,80.43,6327.69,66.28,-0.094119,0.116255,10.12,54,70,441,473,4773.63,56.83,0.040319,0.192788,11.34,0.275531,0.825203,0.608680,281323,502064,No,Yes,0.690575,0.943720,0.999954,5.460654,N/A,not_watertight
living_1117,29.22,42.52,13.51,84.03,19402.63,123.48,-0.171089,0.072821,5.25,38,118,433,457,10843.12,87.57,-0.068932,0.142484,7.78,0.425216,0.889092,0.680576,264020,501410,No,Yes,0.999964,0.543913,0.964694,2.667965,N/A,not_watertight
kitchen_1031,29.24,28.13,26.92,86.08,3639.24,45.49,0.688245,0.189791,12.52,38,54,512,512,3131.48,41.83,0.661811,0.221957,13.17,0.281341,0.654335,0.721581,267810,502526,No,Yes,0.939689,0.938742,0.999914,10.619618,N/A,not_watertight
kitchen_1099,21.45,21.21,16.11,82.60,7619.87,79.81,-0.143934,0.177205,9.31,62,46,433,473,7666.13,80.18,-0.134859,0.292368,9.29,0.212050,0.840032,0.651938,235940,455280,No,Yes,0.285944,0.999995,0.891040,2.187505,N/A,not_watertight
kitchen_1030,16.94,12.26,14.28,81.63,18699.62,128.02,-0.095796,0.052175,5.41,54,126,409,385,13693.53,102.96,-0.011589,0.148442,6.77,0.122559,0.863050,0.632537,150256,281482,No,Yes,0.552921,0.635153,1.000001,1.199354,N/A,not_watertight
kitchen_1189,24.30,25.72,17.65,84.78,26896.17,136.94,0.242887,0.070687,3.83,78,46,457,481,19470.16,115.07,0.384984,0.101681,5.24,0.257244,0.823127,0.695533,267138,501260,No,Yes,0.386184,0.999999,0.862134,3.260558,N/A,not_watertight
kitchen_1134,26.16,36.19,11.40,85.61,14220.15,98.62,-0.212582,0.073034,6.60,110,102,505,497,9791.01,81.49,-0.218128,0.121895,8.22,0.361909,0.820560,0.712214,270559,501356,No,Yes,0.999980,0.726031,0.833281,3.799475,N/A,not_watertight
kitchen_1102,16.27,18.66,10.79,72.46,18602.39,119.84,0.277094,0.021163,5.44,46,142,449,377,17416.53,116.77,-0.098491,0.034669,5.72,0.186599,0.967444,0.449194,23270,41274,No,Yes,0.298585,0.533647,1.000009,0.675837,N/A,not_watertight
kitchen_1193,26.19,37.18,11.22,84.17,25011.48,144.40,-0.211856,0.047929,4.15,94,134,433,449,15854.06,105.88,-0.226689,0.118054,6.13,0.371823,0.915144,0.683402,273085,501830,No,Yes,1.000051,0.588606,0.802851,3.180913,N/A,not_watertight
kitchen_1200,27.95,35.41,16.17,86.59,29673.09,147.15,-0.099963,0.210545,3.41,62,38,465,497,19631.68,116.53,-0.142805,0.298988,5.20,0.354110,0.813475,0.731727,271929,502498,No,Yes,0.478020,0.999992,0.921047,4.913858,N/A,not_watertight
kitchen_1035,12.84,9.29,11.39,72.83,13572.36,95.43,-0.191841,0.008294,6.80,198,46,313,449,5203.10,63.22,-0.124974,0.026772,10.97,0.092904,0.959819,0.456628,6100,9630,No,Yes,0.039909,1.000000,0.221505,0.050054,N/A,not_watertight
kitchen_1003,27.05,32.12,17.14,86.72,10120.07,83.58,-0.095713,0.187193,8.08,38,54,457,489,7747.48,71.42,0.003988,0.269154,9.24,0.321249,0.822750,0.734366,258815,501416,No,Yes,0.373681,0.999988,0.996728,2.897862,N/A,not_watertight
kitchen_1148,21.43,28.22,11.71,77.27,12140.35,92.19,-0.145209,0.042391,7.29,38,46,473,401,10312.53,82.62,-0.087849,0.070763,8.00,0.282243,0.898605,0.545490,305058,501264,No,Yes,1.000043,0.887469,0.365275,3.770504,N/A,not_watertight
kitchen_1162,24.19,27.68,16.10,83.38,14295.27,95.62,0.008677,0.052935,6.58,46,118,489,393,8959.23,76.78,0.243267,0.102848,8.61,0.276786,0.854658,0.667617,196582,363050,No,Yes,0.999950,0.557785,0.390836,1.616526,N/A,not_watertight
kitchen_1029,28.15,42.72,11.03,83.24,21778.32,135.68,-0.132222,0.029278,4.75,86,126,449,425,14763.55,105.52,-0.146332,0.069416,6.44,0.427175,0.935734,0.664726,280247,501766,No,Yes,1.000009,0.510766,0.676468,2.653076,N/A,not_watertight
kitchen_1028,26.32,33.34,17.83,79.24,22088.73,128.53,-0.126540,0.093376,4.69,46,134,465,401,8411.19,69.94,0.163819,0.220476,8.88,0.333424,0.924650,0.584844,202592,394954,No,Yes,0.436524,0.479466,0.999993,1.805777,N/A,not_watertight
19324089973_542ac72d6f_o,34.04,57.45,11.49,82.32,12296.00,88.20,-0.092122,0.028553,7.23,62,110,433,417,10758.79,79.70,-0.089030,0.061745,7.81,0.574468,0.849758,0.646344,47302,88972,No,Yes,0.091393,0.641517,1.000047,0.381347,N/A,not_watertight
15831449986_e6938bf528_o,29.00,35.34,16.40,91.50,7035.93,65.78,0.217291,0.114387,9.66,54,46,449,465,5699.08,58.12,0.084863,0.166895,10.57,0.353387,0.693527,0.830090,116502,221844,No,Yes,0.062407,0.999987,0.977096,0.987829,N/A,not_watertight
15843042109_810b925957_o,29.22,44.14,13.35,81.13,18372.76,128.10,-0.139896,0.036248,5.49,54,174,433,329,10922.16,84.92,-0.120790,0.161332,7.75,0.441418,0.945463,0.622561,43978,81972,No,Yes,0.055356,0.308590,0.999996,0.376254,N/A,not_watertight
16155324722_9d11d48ffc_o,30.02,43.41,11.48,90.34,17284.38,105.13,-0.093491,0.030585,5.75,54,118,441,393,14907.09,96.16,-0.110626,0.071893,6.40,0.434106,0.860982,0.806771,48570,91504,No,Yes,0.061984,0.609982,0.999987,0.392260,N/A,not_watertight
19906119675_2186143a4d_o,33.67,53.76,12.24,86.33,9183.90,72.27,-0.066497,0.042155,8.50,62,94,425,433,8467.27,68.92,-0.059464,0.080425,8.85,0.537591,0.798856,0.726599,35973,66924,No,Yes,0.074983,0.648993,1.000004,0.288659,N/A,not_watertight
15831421306_abc0b5c6bf_o,26.17,31.24,16.92,84.52,11021.04,87.67,-0.001843,0.044936,7.71,54,166,449,345,9284.99,74.51,0.226854,0.148162,8.45,0.312395,0.908416,0.690351,59153,110346,No,Yes,0.017238,0.398317,0.999995,0.538723,N/A,not_watertight
19667654424_662b25a4d3_o,20.19,22.66,10.56,84.53,8932.93,78.51,-0.121577,0.009196,8.62,62,150,441,369,7833.98,71.30,-0.098721,0.024710,9.19,0.226588,0.904335,0.690506,42355,77828,No,Yes,0.074207,0.421957,1.000037,0.332200,N/A,not_watertight
5075275649_c015fcbae9_o,21.07,21.95,11.78,87.91,13601.16,109.69,-0.073631,0.018876,6.80,46,150,449,353,11214.45,92.96,-0.054183,0.057238,7.63,0.219506,0.898065,0.758217,77512,144172,No,Yes,0.234016,0.537840,1.000001,0.548216,N/A,not_watertight
19832075215_0c2b3f81c1_o,15.94,11.23,12.14,82.96,12736.09,89.02,-0.098351,0.017997,7.08,198,102,329,449,16699.70,106.20,-0.061680,0.077123,5.90,0.112284,0.995141,0.659196,42200,80030,No,Yes,0.999993,0.598511,0.045433,0.388515,N/A,not_watertight
19554937106_af445a7df5_o,23.19,30.58,12.18,80.43,15555.89,118.47,-0.176165,0.008191,6.21,214,166,305,361,10874.46,93.77,-0.148315,0.122363,7.77,0.305820,0.957543,0.608625,51310,96314,No,Yes,1.000003,0.157349,0.251501,0.335634,N/A,not_watertight
16574980597_9b4e877623_o,24.51,33.11,10.92,84.48,16793.36,118.95,-0.175987,0.007178,5.88,54,214,449,297,12605.20,95.72,-0.126333,0.054753,7.13,0.331078,1.031463,0.689626,39666,73904,No,Yes,0.214235,0.073368,1.000002,0.328368,N/A,not_watertight
4121917051_0ec8c10f32_o,23.24,26.18,12.29,89.28,5729.65,62.85,-0.090403,0.020488,10.55,54,206,441,321,6806.21,65.75,-0.094265,0.100129,9.80,0.261842,0.875956,0.785627,46321,86890,No,Yes,0.220696,0.197254,0.999994,0.333529,N/A,not_watertight
8210802253_1deca73f17_o,20.93,13.31,17.93,92.15,12661.79,97.94,0.167691,0.029887,7.11,38,118,449,377,10246.85,83.02,0.493198,0.060216,8.02,0.133066,0.856076,0.842999,70851,133638,No,Yes,0.280545,0.688147,0.999989,0.508871,N/A,not_watertight
19688793649_b4e50f1b97_o,21.38,25.39,12.57,80.99,8135.12,76.30,-0.115797,0.069021,9.03,62,110,433,409,9531.39,77.74,-0.188758,0.159937,8.34,0.253872,0.889239,0.619856,91869,172680,No,Yes,0.136309,0.632678,1.000005,0.788376,N/A,not_watertight
15933264296_158a3fd419_o,21.01,22.26,12.38,85.79,15981.85,109.83,-0.203702,0.037845,6.09,54,118,473,409,13948.58,95.03,-0.044879,0.079683,6.69,0.222616,0.846728,0.715851,220852,420798,No,Yes,0.524899,0.647181,0.999999,1.644343,N/A,not_watertight
